company_name,domain,website_clean,priority_tier,tier_name,business_type,market_region,estimated_employees,currency,monthly_revenue_display,monthly_revenue_numeric,opportunity_value_display,opportunity_value_numeric,overall_score,digital_maturity_score,technology_readiness,digital_opportunity,website_performance_score,website_accessibility_score,website_seo_score,website_best_practices_score,website_overall_score,website_status,needs_improvement,outreach_priority,primary_pain_point,urgency_level,estimated_monthly_impact,success_probability,follow_up_timeline,talking_point_1,talking_point_2,talking_point_3,discovery_query,discovery_date,discovery_source,enrichment_status,enrichment_mode,enrichment_timestamp,lead_status,assigned_to,contact_priority,follow_up_date,notes,created_date,last_modified
Blue Sky Dental Clinic - North Vancouver Dentist,blueskydental.ca,https://blueskydental.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:15.109040,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.900983,2025-07-30T16:35:27.900983
Services,smileavenuedental.ca › services,https://smileavenuedental.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",8,CAD,"CAD $96,667",96666.66666666667,CAD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:16.143020,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
"White Center Smiles: Dentist in Seattle, WA",whitecentersmiles.com,https://whitecentersmiles.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,6500.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:17.081430,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
"Green Leaf Dental: Dentist in Seattle, WA",greenleafdentalseattle.com,https://greenleafdentalseattle.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,6500.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:18.111303,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
Dentist Vancouver | Dental Clinic Vancouver | Dentists Near Me,oakridgedentalclinic.com,https://oakridgedentalclinic.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $96,667",96666.66666666667,USD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:19.094458,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
Directions to 4th & Seneca Dental | Seattle Dentist,4thandsenecadental.com › getting-here,https://4thandsenecadental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",8,USD,"USD $86,667",86666.66666666667,USD $240,240.24000000000004,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,6500.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:20.109310,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
30 years of experience | Britania Dental Centre,britanniadentalcentre.ca › about us,https://britanniadentalcentre.ca,2,Tier 2 - Gold,Dental,Canada,8,CAD,"CAD $96,667",96666.66666666667,CAD $244,243.59999999999997,0.886,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,7250.0,0.66,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"inurl:about site:*.ca ""years experience"" ""practice"" -university",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:21.087048,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
"Gertsoyg & Company, Comprehensive Legal Services",yglaw.ca,https://yglaw.ca,2,Tier 2 - Gold,Legal,"Vancouver, BC",8,CAD,"CAD $120,000",120000.0,CAD $333,332.6400000000001,0.854,47.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,9000.0,0.66,24 hours,Website loading 50% slower than industry standard,$120k/month business - significant ROI potential,Professional website credibility directly impacts client acquisition,"site:*.ca ""law firm"" ""consultation"" vancouver -directory -lawyer.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:33:39.296494,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.914530,2025-07-30T16:35:27.914530
5th & Olive Dental | Dentist Downtown Seattle,5thandolivedental.com,https://5thandolivedental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $150,150.14999999999998,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:22.094575,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
"Dentist Seattle, WA | Love Your Smile Family Dentistry",loveyoursmile.dentist,https://loveyoursmile.dentist,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $150,150.14999999999998,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:23.099112,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
Our Practice | Cambie Village Dental | Vancouver Dentist,cambievillagedental.com › site › vancouve...,https://cambievillagedental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.666666666664,USD $167,167.475,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:24.097197,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.902057,2025-07-30T16:35:27.902057
Family Dentist in Seattle and South Lake Union,paramountdentalcenter.com › seattle-dentist,https://paramountdentalcenter.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $150,150.14999999999998,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:25.113425,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T16:35:27.903079
Do Seniors Get Free Dental In Canada?,sabydental.ca › do-seniors-get-free-dental-i...,https://sabydental.ca,2,Tier 2 - Gold,Dental,Canada,5,CAD,"CAD $60,417",60416.666666666664,CAD $152,152.24999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""local clinic"" ""book appointment"" ""call"" -booking.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:26.087650,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T16:35:27.903079
Restorative Fillings Near Me,loveitdental.ca › service › restorative-fillings,https://loveitdental.ca,2,Tier 2 - Gold,Dental,Canada,5,CAD,"CAD $60,417",60416.666666666664,CAD $152,152.24999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""local clinic"" ""book appointment"" ""call"" -booking.com",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:27.077063,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T16:35:27.903079
Creekside Dental Vancouver WA: Salmon Creek Dentist,creekside-dental.com,https://creekside-dental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.666666666664,USD $152,152.24999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:28.110219,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T16:35:27.903079
SkyView Family Dentistry: Same-day crown dentist services,skyviewfamilydentistry.com,https://skyviewfamilydentistry.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:29.121186,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.903079,2025-07-30T16:35:27.903079
Family Dentistry Vancouver WA,mynewimage.net › dentistry › family-dentistry,https://mynewimage.net,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.666666666664,USD $152,152.24999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:30.134061,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904059,2025-07-30T16:35:27.904059
North Seattle Dental - Top Family and Cosmetic Dentists,northseattledental.com,https://northseattledental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:31.123951,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
Dentist West Seattle WA | Philip R Howard DDS,philiphowarddds.com,https://philiphowarddds.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:32.122848,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
"Family Dentist Seattle, WA",interbaydentist.com › seattle wa,https://interbaydentist.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $150,150.14999999999998,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:33.116968,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
Westview Dental | West Seattle Family Dentistry,westviewdentalseattle.com,https://westviewdentalseattle.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:34.113891,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
Family Dentistry in Seattle South Lake Union WA,koisdentistry.com › family-dentistry,https://koisdentistry.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $54,167",54166.666666666664,USD $136,136.49999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4062.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:35.122836,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
Same-Day Dentistry at Our Family Dental Practice,paddendental.com › same-day-dentistry › same-da...,https://paddendental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",5,USD,"USD $60,417",60416.666666666664,USD $152,152.24999999999994,0.868,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,4531.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"""family dental practice"" (vancouver OR seattle) -chain -corporate",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:36.103927,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
Dental Cleanings & Oral Exams - Vancouver,parkplacedental.ca › dental-cleanings-and-e...,https://parkplacedental.ca,2,Tier 2 - Gold,Dental,"Vancouver, BC",6,CAD,"CAD $72,500",72500.0,CAD $201,200.96999999999997,0.861,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,5438.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"site:*.ca ""vancouver"" (""dental clinic"" OR ""dental practice"") ""book appointment"" -chain -franchise",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:37.151966,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
No Insurance Dental Care (Cash-Only ...,westvancouverdental.com › services › cash...,https://westvancouverdental.com,2,Tier 2 - Gold,Dental,"Seattle, WA",6,USD,"USD $72,500",72500.0,USD $219,219.24,0.861,49.5,Low,Unknown,0,0,0,0,0,unknown,True,Platinum,Website Speed Optimization,Urgent,5438.0,0.65,24 hours,Website loading 50% slower than industry standard,Patient booking optimization typically increases appointments 15-25%,,"(""vancouver"" OR ""seattle"") ""dental practice"" ""book online"" -directory",,SearchAPI Real Discovery,enriched,live,2025-07-30T16:32:38.148649,new,,platinum,2025-08-01T09:00:00,Primary opportunity: Website Speed Optimization. Technology readiness: Low. MEDIUM conversion probability.,2025-07-30T16:35:27.904439,2025-07-30T16:35:27.904439
